"severity","category","subcategory","pattern","message","file","line","line_text","result_data_id","false_positive_threshold"
"Error","ErrorProne",,"PyLintPython3_E1102","resolver is not callable","src/stoner_measurement/sweep/base.py","103","        return period if not callable(resolver) else float(resolver(period))","131529894479","80"
"Warning","Complexity",,"Prospector_mccabe","_make_tc is too complex (18) (MC0001)","tests/unit/instruments/contracts/test_temperature_controller_contracts.py","32","def _make_tc(transport=None):","131509482888","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley6221_MultiSR830Plugin._validate_configuration is too complex (24) (MC0001)","src/stoner_measurement/plugins/trace/k6221_multi_sr830.py","1396","    def _validate_configuration(self) -> None:","131503815002","80"
"Info","CodeStyle",,"PyLintPython3_W0404","Reimport 'QPushButton' (imported line 11)","tests/test_k6221_multi_sr830_plugin.py","210","        from qtpy.QtWidgets import QPushButton","131526171096","80"
"Info","CodeStyle",,"PyLintPython3_W0404","Reimport 'MagnetController' (imported line 32)","src/stoner_measurement/magnet_control/engine.py","410","        from stoner_measurement.instruments.magnet_controller import MagnetController","131532486917","80"
"Warning","Complexity",,"Prospector_mccabe","DockPanel._refresh_plugins is too complex (16) (MC0001)","src/stoner_measurement/ui/dock_panel.py","1151","    def _refresh_plugins(self) -> None:","131532268538","80"
"High","ErrorProne",,"Prospector_pyflakes","redefinition of unused 'pytest' from line 8 (F811)","tests/test_state_sweep_plugin.py","839","    import pytest","131525965591","80"
"Warning","Complexity",,"Prospector_mccabe","_make_fake_tc is too complex (21) (MC0001)","tests/test_temperature_control.py","1434","def _make_fake_tc():","131481484610","80"
"Warning","Complexity",,"Prospector_mccabe","Keithley6221_MultiSR830Plugin._plugin_config_tabs is too complex (40) (MC0001)","src/stoner_measurement/plugins/trace/k6221_multi_sr830.py","900","    def _plugin_config_tabs(self) -> QWidget:","131503815001","80"
"Warning","Complexity",,"Prospector_mccabe","TestEngineLifecycle.test_connect_preferred_driver_uses_persisted_connection_settings is too complex (28) (MC0001)","tests/test_magnet_control.py","706","    def test_connect_preferred_driver_uses_persisted_connection_settings(self, qapp):","131511477734","80"
"High","ErrorProne",,"PyLintPython3_E0203","Access to member 'autoSIPrefixScale' before its definition line 137","src/stoner_measurement/ui/axis_mappings.py","135","        scale = self.autoSIPrefixScale","131530528187","80"
"High","Security","InsecureModulesLibraries","PyLintPython3_W0122","Use of exec","tests/unit/plugins/sequence/test_sequence_containers.py","88","        exec(source, {""calls"": calls, plugin.instance_name: plugin})  # noqa: S102","131530528184","80"
"Warning","Complexity",,"Prospector_mccabe","TestSaveCommand.test_execute_nexus_writes_nexus_layout_with_h5py is too complex (17) (MC0001)","tests/unit/plugins/command/test_save_command.py","486","    def test_execute_nexus_writes_nexus_layout_with_h5py(self, qapp, engine, tmp_path, monkeypatch):","131508835756","80"
